"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Michael Gallup","Cowboys","WR","10","25","6","5","5","0","98","78","72","26","15","0","0","0","4","0","0"
"[object Object]","2020","Diontae Johnson","Steelers","WR","7","15","5","3","3","0","94","167","91","3","0","1","0","0","3","0","0"
"[object Object]","2020","Dan Arnold","Cardinals","TE","9","13","3","2","2","0","84","57","48","36","0","1","0","0","2","0","0"
"[object Object]","2020","DeAndre Hopkins","Cardinals","WR","10","23","7","4","4","0","81","114","48","33","10","1","0","1","4","0","0"
"[object Object]","2020","Tyron Johnson","Chargers","WR","3","8","3","1","2","0","81","115","72","9","6","1","1","0","2","0","0"
"[object Object]","2020","Chad Hansen","Texans","WR","4","16","6","6","5","1","79","78","73","6","-2","0","0","0","3","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","8","14","3","2","2","0","78","64","51","27","0","1","0","0","2","0","0"
"[object Object]","2020","DK Metcalf","Seahawks","WR","8","22","6","4","4","0","71","99","64","7","4","1","0","0","4","0","0"
"[object Object]","2020","Justin Jefferson","Vikings","WR","12","25","3","3","2","1","71","24","20","51","12","0","0","1","2","0","0"
"[object Object]","2020","Jalen Guyton","Chargers","WR","9","20","3","2","2","0","68","106","60","8","2","0","0","0","2","1","20"
"[object Object]","2020","Kendrick Bourne","49ers","WR","10","19","2","1","2","0","65","65","65","0","0","1","0","0","2","0","0"
"[object Object]","2020","Tim Patrick","Broncos","WR","11","24","6","6","6","0","61","32","32","29","7","0","0","0","3","0","0"
"[object Object]","2020","T.J. Hockenson","Lions","TE","9","18","5","5","4","0","61","52","41","20","2","0","0","0","3","0","0"
"[object Object]","2020","Ryan Izzo","Patriots","TE","3","4","2","1","2","0","59","56","56","3","0","0","0","0","1","0","0"
"[object Object]","2020","DJ Moore","Panthers","WR","7","20","5","2","2","0","57","88","54","3","0","0","0","0","2","0","0"
"[object Object]","2020","Tee Higgins","Bengals","WR","8","16","4","4","3","0","55","85","29","26","10","0","1","0","3","0","0"
"[object Object]","2020","Demarcus Robinson","Chiefs","WR","9","15","4","3","3","0","53","36","26","27","-1","0","0","1","2","0","0"
"[object Object]","2020","Dalton Schultz","Cowboys","TE","10","25","3","3","3","0","51","31","31","20","17","1","2","0","2","0","0"
"[object Object]","2020","Adam Humphries","Titans","WR","6","14","4","4","4","0","49","45","45","4","0","1","0","0","1","0","0"
"[object Object]","2020","Logan Thomas","Football Team","TE","10","19","6","4","4","0","48","69","30","18","8","0","0","2","2","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","8","15","2","2","2","0","47","23","23","24","0","0","0","0","1","0","0"
"[object Object]","2020","Chad Beebe","Vikings","WR","9","12","3","3","2","0","45","29","25","20","21","1","2","0","1","0","0"
"[object Object]","2020","Gabriel Davis","Bills","WR","9","15","4","4","3","0","44","68","35","9","5","1","1","0","1","0","0"
"[object Object]","2020","Emmanuel Sanders","Saints","WR","5","10","3","3","3","0","43","38","38","5","2","0","0","0","2","0","0"
"[object Object]","2020","Joshua Kelley","Chargers","RB","3","3","2","2","2","0","43","-6","-6","49","12","0","0","0","1","0","0"
"[object Object]","2020","DaeSean Hamilton","Broncos","WR","7","16","5","4","3","0","42","49","34","8","2","0","0","0","2","1","4"
"[object Object]","2020","Stefon Diggs","Bills","WR","9","18","4","4","4","0","41","33","33","8","0","0","0","0","2","0","0"
"[object Object]","2020","Tyler Higbee","Rams","TE","4","4","2","2","2","0","41","29","29","12","7","0","0","0","1","0","0"
"[object Object]","2020","Jakobi Meyers","Patriots","WR","5","10","2","2","2","0","40","22","22","18","8","0","0","0","1","0","0"
"[object Object]","2020","Rob Gronkowski","Buccaneers","TE","9","16","4","3","2","0","38","107","29","9","5","1","0","0","2","1","46"
"[object Object]","2020","Trent Taylor","49ers","WR","4","8","4","4","2","0","38","33","23","15","11","0","1","0","1","0","0"
"[object Object]","2020","Tyler Lockett","Seahawks","WR","8","22","4","3","3","0","37","52","26","11","3","0","0","0","1","0","0"
"[object Object]","2020","JuJu Smith-Schuster","Steelers","WR","10","18","2","2","2","0","37","35","35","2","0","0","0","0","2","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","11","22","4","4","3","0","36","75","30","6","0","0","0","0","3","0","0"
"[object Object]","2020","Ezekiel Elliott","Cowboys","RB","6","15","4","4","4","0","35","1","1","34","7","0","0","1","1","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","9","12","2","1","1","0","35","65","27","8","0","1","0","0","1","0","0"
"[object Object]","2020","Mike Evans","Buccaneers","WR","13","28","6","2","3","0","34","107","29","5","0","0","0","0","1","0","0"
"[object Object]","2020","Randall Cobb","Texans","WR","5","10","4","3","3","0","34","34","26","8","2","0","0","0","2","0","0"
"[object Object]","2020","Chris Conley","Jaguars","WR","7","12","3","3","3","0","34","28","28","6","3","0","0","0","1","0","0"
"[object Object]","2020","Brandin Cooks","Texans","WR","10","22","3","3","3","0","34","19","19","8","23","0","1","0","1","0","0"
"[object Object]","2020","Kenny Stills","Texans","WR","5","7","3","3","2","1","34","43","34","0","0","0","0","0","1","0","0"
"[object Object]","2020","Keenan Allen","Chargers","WR","9","14","2","2","2","0","33","21","21","12","0","0","0","0","1","0","0"
"[object Object]","2020","Willie Snead IV","Ravens","WR","8","12","2","2","2","0","33","14","14","19","6","0","0","0","1","0","0"
"[object Object]","2020","Le'Veon Bell","2 teams","RB","5","8","2","2","2","0","32","24","24","8","0","0","0","0","2","0","0"
"[object Object]","2020","Mark Andrews","Ravens","TE","8","12","3","2","1","1","31","46","30","1","0","1","0","0","1","0","0"
"[object Object]","2020","A.J. Brown","Titans","WR","7","19","3","3","2","1","31","41","11","20","5","0","1","0","2","0","0"
"[object Object]","2020","Darren Waller","Raiders","TE","7","10","4","2","2","0","30","52","20","10","3","0","0","0","2","0","0"
"[object Object]","2020","J.D. McKissic","Football Team","RB","8","11","4","4","4","0","30","3","3","27","10","0","0","1","0","0","0"
"[object Object]","2020","Marquise Brown","Ravens","WR","10","15","1","1","1","0","30","12","12","18","19","0","1","0","1","0","0"
"[object Object]","2020","Curtis Samuel","Panthers","WR","5","16","4","2","2","0","29","53","29","0","0","0","0","0","2","0","0"
