"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Travis Kelce","Chiefs","TE","13","42","12","11","9","1","186","143","100","86","35","0","1","1","8","1","18"
"[object Object]","2020","Russell Gage","Falcons","WR","13","74","18","17","10","4","121","148","59","62","35","1","1","3","8","1","14"
"[object Object]","2020","Mike Evans","Buccaneers","WR","14","59","10","10","8","0","120","109","97","23","4","1","0","0","7","1","6"
"[object Object]","2020","Calvin Ridley","Falcons","WR","13","73","21","13","10","1","111","338","99","12","7","0","1","1","5","1","15"
"[object Object]","2020","Chris Godwin","Buccaneers","WR","12","47","13","10","9","1","107","146","83","24","13","0","0","0","6","0","0"
"[object Object]","2020","Curtis Samuel","Panthers","WR","9","17","5","5","5","0","89","67","67","22","9","0","1","0","3","0","0"
"[object Object]","2020","Keenan Allen","Chargers","WR","12","36","11","10","9","0","82","106","72","10","7","0","0","0","5","0","0"
"[object Object]","2020","Terry McLaurin","Football Team","WR","11","33","9","7","4","2","80","139","44","36","5","0","0","0","3","1","5"
"[object Object]","2020","CeeDee Lamb","Cowboys","WR","10","33","6","5","5","0","80","65","59","21","5","0","0","0","4","0","0"
"[object Object]","2020","Tyreek Hill","Chiefs","WR","13","45","12","7","5","1","77","157","59","18","5","1","0","0","4","0","0"
"[object Object]","2020","Jerry Jeudy","Broncos","WR","13","35","9","7","5","1","75","115","61","14","8","0","1","0","4","1","14"
"[object Object]","2020","Chase Claypool","Steelers","WR","12","22","6","3","3","0","71","150","49","22","18","1","1","0","3","0","0"
"[object Object]","2020","Amari Cooper","Cowboys","WR","11","38","9","8","7","1","70","80","51","19","9","0","0","0","6","0","0"
"[object Object]","2020","Travis Fulgham","Eagles","WR","8","26","7","5","4","1","68","105","64","4","4","0","0","0","4","1","9"
"[object Object]","2020","Tyler Lockett","Seahawks","WR","13","30","3","3","3","0","67","62","62","5","1","1","0","0","3","0","0"
"[object Object]","2020","Rashard Higgins","Browns","WR","5","10","3","3","3","0","63","60","60","3","0","0","0","0","3","0","0"
"[object Object]","2020","Marquez Valdes-Scantling","Packers","WR","9","17","4","3","2","1","60","52","43","17","4","1","0","0","2","0","0"
"[object Object]","2020","Jamison Crowder","Jets","WR","5","8","2","2","2","0","60","33","33","27","23","0","1","0","2","0","0"
"[object Object]","2020","Tim Patrick","Broncos","WR","11","28","7","6","5","0","59","62","45","14","3","0","0","0","1","0","0"
"[object Object]","2020","JuJu Smith-Schuster","Steelers","WR","13","31","3","3","3","0","57","23","23","34","24","0","1","0","3","0","0"
"[object Object]","2020","Golden Tate","Giants","WR","7","12","4","4","4","0","56","40","40","16","2","0","0","0","3","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","10","27","5","4","4","0","55","79","46","9","2","1","0","0","3","0","0"
"[object Object]","2020","George Kittle","49ers","TE","6","6","3","3","2","1","52","52","40","12","7","0","0","0","2","0","0"
"[object Object]","2020","Robby Anderson","Panthers","WR","8","23","6","6","5","0","51","34","29","22","7","0","0","0","3","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","11","32","5","4","3","0","51","62","35","16","6","0","0","0","3","0","0"
"[object Object]","2020","Michael Gallup","Cowboys","WR","11","38","5","4","3","0","50","64","45","5","6","0","0","0","3","0","0"
"[object Object]","2020","Marvin Jones","Lions","WR","13","26","7","5","3","1","49","74","49","0","0","0","0","0","3","0","0"
"[object Object]","2020","Mack Hollins","Dolphins","WR","6","17","5","4","4","0","48","43","41","7","3","0","0","0","1","0","0"
"[object Object]","2020","Rob Gronkowski","Buccaneers","TE","10","30","9","7","5","2","46","56","19","27","12","0","0","0","2","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","6","12","4","4","4","0","46","40","40","6","4","0","0","0","2","0","0"
"[object Object]","2020","Dalvin Cook","Vikings","RB","7","12","3","2","2","0","46","5","5","41","15","0","0","1","2","0","0"
"[object Object]","2020","John Brown","Bills","WR","4","13","2","2","1","1","46","58","44","2","1","1","0","0","1","0","0"
"[object Object]","2020","Julio Jones","Falcons","WR","8","35","4","3","3","0","45","59","39","6","3","0","0","0","2","0","0"
"[object Object]","2020","Hunter Henry","Chargers","TE","12","35","11","6","5","0","44","106","37","7","4","0","0","0","4","0","0"
"[object Object]","2020","Anthony Miller","Bears","WR","8","22","9","6","5","0","44","106","34","10","1","0","0","0","2","0","0"
"[object Object]","2020","Stefon Diggs","Bills","WR","6","18","5","4","4","0","44","49","33","11","8","0","0","0","3","0","0"
"[object Object]","2020","Danny Amendola","Lions","WR","12","17","4","4","4","0","43","31","31","12","8","0","0","1","3","0","0"
"[object Object]","2020","Hayden Hurst","Falcons","TE","13","65","7","5","4","0","42","28","14","28","8","0","0","0","2","0","0"
"[object Object]","2020","Diontae Johnson","Steelers","WR","13","29","9","6","3","3","41","94","31","10","2","0","0","0","3","0","0"
"[object Object]","2020","Greg Ward","Eagles","WR","12","35","6","4","4","0","40","44","34","6","2","0","0","0","2","0","0"
"[object Object]","2020","Allen Robinson","Bears","WR","8","24","3","2","2","0","40","44","33","7","2","0","0","0","2","0","0"
"[object Object]","2020","Mike Gesicki","Dolphins","TE","7","33","5","4","3","1","39","49","29","10","0","1","0","1","1","0","0"
"[object Object]","2020","Jared Cook","Saints","TE","8","16","5","4","4","0","39","41","34","5","3","0","0","0","3","0","0"
"[object Object]","2020","Antonio Brown","Buccaneers","WR","8","29","3","3","3","0","39","38","28","11","6","0","0","0","2","1","10"
"[object Object]","2020","Larry Fitzgerald","Cardinals","WR","8","9","4","4","4","0","38","29","29","9","5","0","0","0","4","0","0"
"[object Object]","2020","DJ Moore","Panthers","WR","10","25","4","3","3","0","38","42","33","5","2","0","0","0","3","0","0"
"[object Object]","2020","Byron Pringle","Chiefs","WR","5","5","3","3","3","0","38","19","19","19","6","0","0","0","3","0","0"
"[object Object]","2020","Tyler Eifert","Jaguars","TE","7","13","4","4","3","0","37","38","35","2","0","1","0","0","3","0","0"
"[object Object]","2020","J.J. Arcega-Whiteside","Eagles","WR","3","3","1","1","1","0","37","37","37","0","0","0","0","0","1","0","0"
"[object Object]","2020","Gerald Everett","Rams","TE","10","14","3","3","3","0","36","14","14","22","18","0","4","1","2","0","0"
"[object Object]","2020","Chris Herndon","Jets","TE","6","9","3","3","2","0","36","31","25","11","0","1","0","0","2","0","0"
"[object Object]","2020","Emmanuel Sanders","Saints","WR","7","17","7","5","4","1","35","62","16","19","4","0","0","0","3","0","0"
