"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Mark Andrews","Ravens","TE","14","49","49","39","36","2","427","450","265","162","104","4","4","1","25","1","39"
"[object Object]","2021","Deebo Samuel","49ers","WR","13","37","37","31","25","4","362","131","70","308","164","1","5","2","16","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","10","43","43","41","38","2","347","85","58","289","90","2","2","4","21","0","0"
"[object Object]","2021","DK Metcalf","Seahawks","WR","16","52","51","39","32","2","319","448","202","117","59","5","2","2","20","1","7"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","14","38","38","33","32","1","314","202","142","172","39","5","2","5","22","0","0"
"[object Object]","2021","Kyle Pitts","Falcons","TE","14","24","24","21","18","0","313","194","162","151","94","0","3","0","10","0","0"
"[object Object]","2021","Hunter Renfrow","Raiders","WR","13","40","40","36","34","0","280","184","125","155","56","1","0","4","13","0","0"
"[object Object]","2021","Rashod Bateman","Ravens","WR","11","40","40","32","29","1","280","288","181","99","50","1","0","3","18","0","0"
"[object Object]","2021","George Kittle","49ers","TE","11","27","27","25","21","1","259","215","158","101","68","1","5","0","15","0","0"
"[object Object]","2021","Mike Williams","Chargers","WR","15","45","42","32","23","4","257","391","132","125","48","3","0","1","13","3","55"
"[object Object]","2021","Cole Beasley","Bills","WR","14","43","43","36","34","2","248","173","120","128","33","0","0","3","10","0","0"
"[object Object]","2021","Marquise Brown","Ravens","WR","13","49","48","39","35","2","242","244","116","126","24","0","0","2","10","1","41"
"[object Object]","2021","Russell Gage","Falcons","WR","11","27","27","24","24","0","240","144","118","122","53","2","3","3","9","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","13","33","32","26","25","0","229","157","99","130","55","1","2","0","13","1","19"
"[object Object]","2021","Stefon Diggs","Bills","WR","17","47","46","33","28","1","226","295","113","113","72","1","4","4","13","1","2"
"[object Object]","2021","Travis Kelce","Chiefs","TE","13","30","30","26","22","3","224","157","95","129","40","5","2","4","19","0","0"
"[object Object]","2021","Mecole Hardman","Chiefs","WR","13","22","22","22","21","1","222","40","36","186","53","1","3","2","10","0","0"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","14","28","27","23","17","4","202","123","78","124","80","0","4","2","8","1","5"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","11","21","20","18","17","0","191","168","138","53","7","1","0","1","7","1","10"
"[object Object]","2021","Christian Kirk","Cardinals","WR","11","27","27","27","26","1","186","101","98","88","33","0","1","1","10","0","0"
"[object Object]","2021","Byron Pringle","Chiefs","WR","9","16","16","15","14","0","181","127","93","88","15","1","0","2","8","0","0"
"[object Object]","2021","Brandon Aiyuk","49ers","WR","14","31","31","27","19","3","179","189","87","94","61","1","3","3","11","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","6","12","11","10","9","0","177","65","54","123","52","1","0","2","5","1","7"
"[object Object]","2021","Keenan Allen","Chargers","WR","13","33","33","27","21","3","175","158","107","68","36","0","1","0","9","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","13","32","32","25","19","5","167","147","58","109","33","0","0","1","7","0","0"
"[object Object]","2021","Tim Patrick","Broncos","WR","11","23","23","19","14","3","167","220","120","47","19","1","0","1","9","0","0"
"[object Object]","2021","Brandin Cooks","Texans","WR","13","29","28","21","20","0","166","111","65","101","20","0","0","2","8","1","6"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","10","19","19","17","16","1","163","35","33","130","60","0","0","4","7","0","0"
"[object Object]","2021","Emmanuel Sanders","Bills","WR","7","15","15","14","12","0","162","173","127","35","13","0","0","0","8","0","0"
"[object Object]","2021","Bryan Edwards","Raiders","WR","9","17","16","14","11","1","160","138","106","54","29","2","3","0","9","1","11"
"[object Object]","2021","DJ Moore","Panthers","WR","15","34","34","29","21","3","157","182","67","90","27","1","0","1","14","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","15","37","35","26","23","1","156","159","46","110","28","2","2","4","11","2","24"
"[object Object]","2021","A.J. Brown","Titans","WR","13","30","29","23","17","3","154","192","97","57","14","2","1","1","9","1","12"
"[object Object]","2021","Olamide Zaccheaus","Falcons","WR","11","20","20","16","13","1","148","130","90","58","21","1","0","0","9","0","0"
"[object Object]","2021","Zay Jones","Raiders","WR","7","18","17","16","16","0","147","136","78","69","10","0","0","1","9","1","41"
"[object Object]","2021","C.J. Uzomah","Bengals","TE","9","16","16","16","15","1","147","61","56","91","44","1","0","3","8","0","0"
"[object Object]","2021","Antonio Brown","Buccaneers","WR","5","14","14","14","14","0","147","96","96","51","11","1","1","1","7","0","0"
"[object Object]","2021","Marvin Jones","Jaguars","WR","13","23","23","19","15","1","143","181","107","36","7","1","0","0","7","0","0"
"[object Object]","2021","Anthony Firkser","Titans","TE","9","16","15","15","14","1","143","117","96","47","20","0","0","0","6","1","5"
"[object Object]","2021","Cole Kmet","Bears","TE","11","23","23","20","15","3","141","154","101","40","18","0","0","1","4","0","0"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","13","33","33","28","23","3","139","72","12","139","22","0","0","1","5","0","0"
"[object Object]","2021","DeVonta Smith","Eagles","WR","11","23","22","18","15","1","139","141","89","50","23","1","0","0","10","1","10"
"[object Object]","2021","Davante Adams","Packers","WR","12","18","18","14","14","0","139","97","68","71","23","1","3","1","10","0","0"
"[object Object]","2021","Nick Westbrook-Ikhine","Titans","WR","13","18","18","14","13","0","139","115","89","50","16","3","0","0","7","0","0"
"[object Object]","2021","Gabriel Davis","Bills","WR","8","16","16","14","11","3","137","123","77","60","16","1","1","0","7","0","0"
"[object Object]","2021","Mike Evans","Buccaneers","WR","9","24","24","16","15","0","135","170","86","49","16","3","2","1","10","0","0"
"[object Object]","2021","Jakobi Meyers","Patriots","WR","11","20","20","18","15","0","135","96","67","68","28","1","1","0","8","0","0"
"[object Object]","2021","Cooper Kupp","Rams","WR","8","16","16","16","14","1","135","80","72","63","13","0","0","0","5","0","0"
"[object Object]","2021","Gerald Everett","Seahawks","TE","11","25","25","19","19","0","134","114","78","56","23","1","0","0","8","0","0"
"[object Object]","2021","K.J. Osborn","Vikings","WR","9","18","18","12","12","0","133","132","94","39","20","1","1","0","4","1","29"
"[object Object]","2021","Laviska Shenault","Jaguars","WR","13","26","26","23","18","3","131","75","30","103","32","0","1","2","6","0","0"
"[object Object]","2021","Dawson Knox","Bills","TE","10","16","16","12","12","0","131","132","78","53","32","2","3","1","6","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","14","26","26","23","17","1","128","195","100","28","12","0","0","0","7","0","0"
"[object Object]","2021","Darnell Mooney","Bears","WR","11","28","28","23","19","1","127","101","51","81","20","1","1","1","7","0","0"
"[object Object]","2021","Aaron Jones","Packers","RB","9","19","19","19","16","1","127","-38","-35","162","63","1","2","1","7","0","0"
"[object Object]","2021","Rondale Moore","Cardinals","WR","11","23","23","20","18","1","120","-50","-62","183","55","0","2","2","5","0","0"
"[object Object]","2021","Michael Gallup","Cowboys","WR","7","21","21","14","10","1","120","196","79","41","25","0","1","0","7","0","0"
"[object Object]","2021","Zach Ertz","2 teams","TE","11","23","23","19","15","1","119","122","49","70","31","3","0","0","10","0","0"
"[object Object]","2021","Freddie Swain","Seahawks","WR","11","19","19","14","12","1","118","112","25","93","42","0","0","2","6","0","0"
"[object Object]","2021","Devin Duvernay","Ravens","WR","12","21","21","18","16","0","116","80","49","67","21","0","1","0","6","0","0"
"[object Object]","2021","Julio Jones","Titans","WR","9","18","18","15","13","1","114","117","62","52","33","1","5","0","5","0","0"
"[object Object]","2021","Allen Lazard","Packers","WR","8","12","12","12","11","0","114","62","58","56","26","2","1","0","8","0","0"
"[object Object]","2021","Brandon Bolden","Patriots","RB","6","11","11","10","10","0","113","-14","-9","122","50","0","3","2","6","0","0"
"[object Object]","2021","Javonte Williams","Broncos","RB","9","15","15","13","13","0","112","-24","-21","133","70","2","0","3","5","0","0"
"[object Object]","2021","Noah Fant","Broncos","TE","12","16","16","11","11","0","111","96","55","56","26","2","1","0","7","0","0"
"[object Object]","2021","Tee Higgins","Bengals","WR","9","15","15","13","11","1","111","68","57","54","28","1","1","1","7","0","0"
"[object Object]","2021","Darren Waller","Raiders","TE","8","15","15","13","10","0","107","104","57","50","27","0","0","0","6","0","0"
"[object Object]","2021","Kalif Raymond","Lions","WR","9","13","13","13","12","1","105","49","43","62","17","0","2","0","5","0","0"
"[object Object]","2021","Terry McLaurin","Football Team","WR","10","18","17","13","11","0","104","128","47","57","22","1","1","1","7","1","4"
"[object Object]","2021","Pat Freiermuth","Steelers","TE","7","18","18","15","13","0","102","78","20","82","38","1","2","1","7","0","0"
"[object Object]","2021","DeVante Parker","Dolphins","WR","8","16","16","14","10","1","102","135","62","40","16","1","1","0","6","0","0"
"[object Object]","2021","Sammy Watkins","Ravens","WR","8","20","20","15","9","3","100","183","68","32","9","0","1","0","4","0","0"
"[object Object]","2021","Henry Ruggs","Raiders","WR","5","9","9","8","8","0","100","70","66","34","18","0","1","0","5","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","11","21","20","16","13","3","99","114","61","45","20","1","0","1","7","1","4"
"[object Object]","2021","Dallas Goedert","Eagles","TE","8","14","14","12","10","1","99","79","28","71","25","1","2","1","5","0","0"
"[object Object]","2021","Austin Ekeler","Chargers","RB","9","21","21","19","15","3","97","41","10","87","35","4","0","3","5","0","0"
"[object Object]","2021","Jared Cook","Chargers","TE","10","20","20","15","12","2","97","116","51","46","11","0","1","0","4","0","0"
"[object Object]","2021","Cordarrelle Patterson","Falcons","RB","13","19","19","16","14","0","94","13","-14","108","50","0","2","0","5","0","0"
"[object Object]","2021","Demetric Felton","Browns","RB","6","9","9","9","9","0","94","-28","-28","122","49","2","3","1","5","0","0"
"[object Object]","2021","Rob Gronkowski","Buccaneers","TE","7","17","17","13","7","4","93","174","58","35","17","1","1","1","6","0","0"
"[object Object]","2021","Danny Amendola","Texans","WR","7","14","14","11","10","0","92","101","52","40","11","1","0","2","4","0","0"
"[object Object]","2021","Nyheim Hines","Colts","RB","8","11","11","9","8","1","91","22","11","80","16","0","1","3","3","0","0"
"[object Object]","2021","Braxton Berrios","Jets","WR","7","15","15","13","12","1","90","22","8","82","7","0","0","0","7","0","0"
"[object Object]","2021","Chester Rogers","Titans","WR","12","17","17","13","10","1","89","87","37","52","16","0","0","0","3","0","0"
"[object Object]","2021","Joe Mixon","Bengals","RB","6","12","12","12","10","1","89","22","25","64","22","1","2","0","4","0","0"
"[object Object]","2021","James Proche","Ravens","WR","5","11","11","9","8","0","89","93","70","19","2","0","0","0","6","0","0"
"[object Object]","2021","Amari Cooper","Cowboys","WR","8","17","16","14","10","1","88","103","54","34","20","1","1","2","5","1","5"
"[object Object]","2021","Sterling Shepard","Giants","WR","6","15","15","13","12","1","88","60","40","48","22","0","0","3","4","0","0"
"[object Object]","2021","Dalton Schultz","Cowboys","TE","8","11","11","10","10","0","88","52","44","44","32","0","2","2","4","0","0"
"[object Object]","2021","Mike Gesicki","Dolphins","TE","10","16","16","14","11","0","83","96","59","24","8","1","0","0","5","0","0"
"[object Object]","2021","Najee Harris","Steelers","RB","13","15","15","14","12","2","82","1","2","80","42","0","3","3","5","0","0"
"[object Object]","2021","Jerry Jeudy","Broncos","WR","6","13","13","12","10","1","81","63","41","40","16","0","0","2","5","0","0"
"[object Object]","2021","Jarvis Landry","Browns","WR","6","8","7","7","7","0","81","24","13","68","9","0","0","1","3","1","10"
"[object Object]","2021","Laquon Treadwell","Jaguars","WR","7","10","10","9","8","0","80","50","44","36","15","1","1","2","4","0","0"
"[object Object]","2021","Geoff Swaim","Titans","TE","11","17","16","14","13","0","79","97","53","26","10","1","0","0","4","1","6"
"[object Object]","2021","Quez Watkins","Eagles","WR","8","9","9","8","6","0","78","46","9","69","42","1","1","1","3","0","0"
"[object Object]","2021","Keelan Cole","Jets","WR","7","11","10","9","7","0","77","113","67","10","3","0","0","0","3","1","9"
"[object Object]","2021","Josh Reynolds","2 teams","WR","6","11","11","10","8","0","75","74","43","32","18","0","2","0","5","0","0"
"[object Object]","2021","Jalen Guyton","Chargers","WR","6","10","10","9","9","0","73","36","31","42","16","0","2","0","4","0","0"
"[object Object]","2021","Tyler Boyd","Bengals","WR","10","16","16","13","12","0","72","20","8","64","27","0","0","4","3","0","0"
"[object Object]","2021","Devin Singletary","Bills","RB","11","18","18","17","14","2","71","-27","-21","92","25","0","3","3","5","0","0"
"[object Object]","2021","Amon-Ra St. Brown","Lions","WR","8","14","14","12","12","0","71","38","14","57","14","0","0","1","5","0","0"
"[object Object]","2021","Jauan Jennings","49ers","WR","6","13","13","11","6","4","70","75","35","35","16","2","1","0","4","0","0"
"[object Object]","2021","JuJu Smith-Schuster","Steelers","WR","2","7","7","6","6","0","70","41","41","29","25","0","2","0","3","0","0"
"[object Object]","2021","Tony Pollard","Cowboys","RB","6","9","9","9","9","0","68","-22","-22","90","27","0","1","1","3","0","0"
"[object Object]","2021","Cedrick Wilson","Cowboys","WR","8","9","9","8","6","2","68","48","40","28","10","1","0","2","3","0","0"
"[object Object]","2021","Rex Burkhead","Texans","RB","3","7","7","6","6","0","68","30","26","42","10","0","1","0","3","0","0"
"[object Object]","2021","DeAndre Hopkins","Cardinals","WR","7","11","10","8","7","1","67","54","30","37","12","2","1","4","6","1","8"
"[object Object]","2021","Kyle Juszczyk","49ers","FB","8","8","8","7","7","0","67","69","40","27","7","0","0","0","4","0","0"
"[object Object]","2021","Damiere Byrd","Bears","WR","6","10","10","8","7","0","64","43","30","34","1","0","0","0","4","0","0"
"[object Object]","2021","Dante Pettis","Giants","WR","2","8","8","8","8","0","64","28","28","36","11","1","0","0","5","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","7","10","9","8","6","0","63","70","47","16","7","1","0","0","5","1","4"
"[object Object]","2021","Kenny Golladay","Giants","WR","9","17","15","9","8","0","62","158","49","13","6","0","0","0","2","2","13"
"[object Object]","2021","Jalen Reagor","Eagles","WR","11","14","14","13","11","1","62","11","4","58","25","0","0","3","2","0","0"
"[object Object]","2021","T.J. Hockenson","Lions","TE","7","12","11","10","9","0","62","58","36","26","16","0","1","0","2","1","10"
"[object Object]","2021","Nico Collins","Texans","WR","7","10","10","8","6","0","62","67","40","22","8","0","0","0","3","0","0"
"[object Object]","2021","Kenneth Gainwell","Eagles","RB","5","9","9","7","5","1","62","23","7","55","13","1","0","1","4","0","0"
"[object Object]","2021","Tre'Quan Smith","Saints","WR","6","8","8","8","7","0","62","78","46","16","9","2","2","0","4","0","0"
"[object Object]","2021","Jakeem Grant","2 teams","WR","6","7","7","7","6","0","61","2","-7","68","22","1","2","0","3","0","0"
"[object Object]","2021","Jamison Crowder","Jets","WR","9","12","12","10","8","0","60","48","25","35","9","0","0","0","2","0","0"
"[object Object]","2021","Tajae Sharpe","Falcons","WR","6","8","8","7","7","0","60","44","41","19","3","0","0","0","2","0","0"
"[object Object]","2021","Alvin Kamara","Saints","RB","7","12","12","12","9","2","58","-8","-10","68","12","2","1","0","4","0","0"
"[object Object]","2021","Cameron Brate","Buccaneers","TE","9","14","14","10","6","2","57","88","29","28","8","0","0","0","2","0","0"
"[object Object]","2021","Odell Beckham","2 teams","WR","8","14","14","14","10","1","55","28","18","37","6","0","0","0","3","0","0"
"[object Object]","2021","Marquise Goodwin","Bears","WR","7","10","10","7","6","0","55","52","22","33","7","0","0","0","1","0","0"
"[object Object]","2021","Darius Slayton","Giants","WR","6","8","8","7","7","0","55","29","24","31","12","0","0","0","2","0","0"
"[object Object]","2021","Myles Gaskin","Dolphins","RB","10","12","12","11","10","1","54","17","9","45","4","1","0","0","3","0","0"
"[object Object]","2021","Zach Pascal","Colts","WR","8","11","11","10","8","0","54","65","49","5","1","2","0","0","3","0","0"
"[object Object]","2021","Isaiah McKenzie","Bills","WR","5","10","10","9","8","0","54","31","8","46","14","0","1","1","4","0","0"
"[object Object]","2021","Tyler Conklin","Vikings","TE","7","8","8","5","5","0","54","39","15","39","13","0","0","0","1","0","0"
"[object Object]","2021","Devonta Freeman","Ravens","RB","7","13","13","13","13","0","53","-11","-11","64","14","0","0","1","4","0","0"
"[object Object]","2021","Donovan Peoples-Jones","Browns","WR","5","7","7","6","5","0","53","61","48","5","2","1","1","0","4","0","0"
"[object Object]","2021","Dan Arnold","2 teams","TE","6","7","7","7","6","1","53","27","22","31","13","0","0","0","3","0","0"
"[object Object]","2021","Zack Moss","Bills","RB","5","8","8","8","7","0","52","-6","-11","63","20","0","1","2","3","0","0"
"[object Object]","2021","A.J. Green","Cardinals","WR","13","18","18","13","9","2","51","101","41","10","1","0","0","0","4","0","0"
"[object Object]","2021","Tommy Tremble","Panthers","TE","9","12","12","10","9","1","51","38","23","28","14","1","0","1","4","0","0"
"[object Object]","2021","Adam Thielen","Vikings","WR","7","11","11","8","8","0","51","17","5","46","6","1","0","1","4","0","0"
"[object Object]","2021","Jack Doyle","Colts","TE","7","8","8","8","7","1","51","41","30","21","3","1","0","0","3","0","0"
"[object Object]","2021","Clyde Edwards-Helaire","Chiefs","RB","6","7","7","5","5","0","51","-4","-2","53","22","0","0","0","2","0","0"
"[object Object]","2021","Kenyan Drake","Raiders","RB","4","9","9","8","8","0","50","0","-2","52","17","0","0","1","1","0","0"
"[object Object]","2021","David Montgomery","Bears","RB","5","8","8","8","7","1","48","0","-6","54","16","0","2","1","3","0","0"
"[object Object]","2021","Will Dissly","Seahawks","TE","5","7","7","7","6","0","48","24","19","29","12","0","0","0","3","0","0"
"[object Object]","2021","Josh Palmer","Chargers","WR","4","6","6","6","5","1","48","25","22","26","8","0","0","0","2","0","0"
"[object Object]","2021","Josh Jacobs","Raiders","RB","9","12","12","12","10","1","46","-22","-22","68","28","0","2","2","0","0","0"
"[object Object]","2021","Leonard Fournette","Buccaneers","RB","6","11","11","11","10","0","46","3","0","46","17","0","0","0","4","0","0"
"[object Object]","2021","Foster Moreau","Raiders","TE","6","9","9","8","6","0","46","65","31","15","6","0","0","0","1","0","0"
