"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","15","79","78","63","50","5","1009","1127","555","454","168","12","2","7","37","1","14"
"[object Object]","2021","Justin Jefferson","Vikings","WR","17","67","64","53","43","4","656","890","466","190","78","5","2","1","33","3","62"
"[object Object]","2021","Tee Higgins","Bengals","WR","14","70","65","55","45","2","605","819","446","159","67","4","3","4","31","5","79"
"[object Object]","2021","Davante Adams","Packers","WR","16","68","63","50","42","2","603","729","428","175","62","5","2","3","32","5","50"
"[object Object]","2021","Terry McLaurin","Football Team","WR","17","63","62","46","40","2","602","795","442","160","90","1","5","1","23","1","12"
"[object Object]","2021","Mike Evans","Buccaneers","WR","15","57","56","45","40","1","585","710","434","151","55","8","3","4","31","3","62"
"[object Object]","2021","Diontae Johnson","Steelers","WR","16","80","79","59","47","2","566","853","327","239","54","4","3","11","26","3","54"
"[object Object]","2021","Cooper Kupp","Rams","WR","17","76","73","62","53","2","562","485","326","236","78","9","3","8","34","3","18"
"[object Object]","2021","Tyler Boyd","Bengals","WR","16","61","61","54","47","1","547","481","322","225","62","4","2","2","27","0","0"
"[object Object]","2021","Kyle Pitts","Falcons","TE","17","57","55","42","34","2","536","690","388","148","68","1","0","2","22","3","47"
"[object Object]","2021","Brandin Cooks","Texans","WR","14","55","53","43","41","0","500","661","372","126","33","2","3","2","20","2","50"
"[object Object]","2021","Deebo Samuel","49ers","WR","13","38","38","26","21","2","497","414","237","260","63","3","1","4","15","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","15","49","47","36","25","1","487","723","324","163","89","1","2","2","17","3","84"
"[object Object]","2021","Mark Andrews","Ravens","TE","17","66","66","44","38","1","483","729","326","157","67","2","2","0","26","0","0"
"[object Object]","2021","Rob Gronkowski","Buccaneers","TE","11","48","46","33","28","1","439","511","266","173","75","3","6","2","16","2","17"
"[object Object]","2021","Travis Kelce","Chiefs","TE","14","57","54","43","35","2","437","486","253","184","122","3","7","6","22","3","60"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","14","47","46","39","35","1","425","442","243","182","81","1","1","0","19","1","15"
"[object Object]","2021","Amari Cooper","Cowboys","WR","15","46","44","33","30","1","421","498","323","98","49","3","2","6","22","2","18"
"[object Object]","2021","DJ Moore","Panthers","WR","17","61","61","42","31","3","410","630","254","156","52","2","2","3","22","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","15","49","48","38","33","2","407","527","308","99","44","3","3","2","22","2","90"
"[object Object]","2021","Stefon Diggs","Bills","WR","17","57","53","41","34","2","404","702","325","79","41","6","3","1","26","5","74"
"[object Object]","2021","Amon-Ra St. Brown","Lions","WR","15","60","60","48","45","0","403","412","267","136","69","3","2","4","21","0","0"
"[object Object]","2021","Brandon Aiyuk","49ers","WR","12","30","28","24","22","0","380","359","234","146","64","2","3","1","16","2","49"
"[object Object]","2021","Marvin Jones","Jaguars","WR","12","44","41","29","25","0","349","605","302","47","25","2","0","0","20","3","31"
"[object Object]","2021","Marquise Brown","Ravens","WR","15","40","39","28","24","2","341","567","222","119","40","3","2","2","14","1","16"
"[object Object]","2021","A.J. Green","Cardinals","WR","13","34","33","23","18","0","341","445","248","93","46","0","3","4","14","1","14"
"[object Object]","2021","Dallas Goedert","Eagles","TE","12","28","28","22","21","1","337","291","206","131","28","1","1","1","19","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","16","50","48","34","28","2","333","670","231","102","29","0","0","4","18","2","60"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","15","29","28","20","18","0","332","523","277","55","6","2","0","0","11","1","19"
"[object Object]","2021","Pat Freiermuth","Steelers","TE","16","44","44","38","34","1","330","305","200","130","65","5","5","1","23","1","10"
"[object Object]","2021","Quez Watkins","Eagles","WR","14","22","22","17","16","0","328","392","241","87","43","0","2","1","11","1","38"
"[object Object]","2021","Keenan Allen","Chargers","WR","13","49","46","38","31","0","322","370","223","99","32","2","1","0","23","3","34"
"[object Object]","2021","Hunter Renfrow","Raiders","WR","16","43","43","35","33","1","321","327","218","103","34","5","0","7","15","0","0"
"[object Object]","2021","Darnell Mooney","Bears","WR","15","46","45","33","26","1","320","460","243","77","40","2","2","1","17","1","26"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","15","42","40","33","30","1","313","338","241","72","37","1","1","3","16","2","15"
"[object Object]","2021","DK Metcalf","Seahawks","WR","15","38","38","27","23","0","309","504","237","72","19","3","0","3","14","0","0"
"[object Object]","2021","Hunter Henry","Patriots","TE","15","42","42","35","30","0","307","356","240","67","22","7","1","0","20","0","0"
"[object Object]","2021","T.J. Hockenson","Lions","TE","12","42","42","35","32","0","299","328","228","71","31","2","1","1","18","0","0"
