"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Cooper Kupp","Rams","WR","16","50","50","37","33","2","561","640","384","177","58","3","2","2","24","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","13","36","35","24","20","1","364","663","285","79","45","2","2","0","18","2","40"
"[object Object]","2021","DJ Moore","Panthers","WR","14","35","34","26","19","1","357","555","242","115","41","0","1","1","14","1","33"
"[object Object]","2021","A.J. Green","Cardinals","WR","13","25","25","19","17","0","356","480","307","49","36","1","2","1","12","0","0"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","13","32","30","21","17","1","355","545","252","103","66","3","4","3","16","2","16"
"[object Object]","2021","Davante Adams","Packers","WR","16","36","34","23","19","0","348","538","227","121","42","1","0","1","14","2","28"
"[object Object]","2021","Keenan Allen","Chargers","WR","15","34","34","27","22","4","342","459","271","71","26","3","0","0","17","0","0"
"[object Object]","2021","A.J. Brown","Titans","WR","10","24","24","22","19","1","321","316","201","120","67","1","3","0","15","0","0"
"[object Object]","2021","Christian Kirk","Cardinals","WR","12","27","26","19","15","2","316","564","294","22","11","1","0","0","13","1","15"
"[object Object]","2021","Jakobi Meyers","Patriots","WR","13","40","39","28","25","0","315","498","244","71","17","0","2","0","13","1","20"
"[object Object]","2021","DeAndre Hopkins","Cardinals","WR","9","23","23","16","16","0","305","395","253","55","29","4","0","0","12","0","0"
"[object Object]","2021","Hunter Renfrow","Raiders","WR","15","27","27","23","20","1","297","261","178","119","51","2","2","4","15","0","0"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","10","18","16","9","7","0","297","461","204","93","42","4","1","1","7","2","47"
"[object Object]","2021","Mike Williams","Chargers","WR","9","23","23","16","12","0","288","399","178","110","41","3","0","0","12","0","0"
"[object Object]","2021","Mark Andrews","Ravens","TE","13","21","21","20","19","1","287","246","216","71","20","3","0","1","15","0","0"
"[object Object]","2021","DeVonta Smith","Eagles","WR","14","28","27","21","15","0","286","515","217","69","25","1","2","3","13","1","10"
"[object Object]","2021","Donovan Peoples-Jones","Browns","WR","8","19","17","11","11","0","283","380","224","59","30","2","1","0","10","2","28"
"[object Object]","2021","Travis Kelce","Chiefs","TE","13","24","24","16","15","1","275","294","149","126","66","1","1","4","8","0","0"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","10","30","30","26","23","1","263","332","190","73","30","1","0","3","20","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","13","24","24","16","15","1","262","386","225","37","16","1","1","0","13","0","0"
"[object Object]","2021","Robert Woods","Rams","WR","9","28","27","22","18","2","250","308","172","78","25","2","0","2","17","1","13"
"[object Object]","2021","Tee Higgins","Bengals","WR","9","22","22","17","11","0","244","424","208","36","17","1","2","0","11","1","8"
"[object Object]","2021","Amari Cooper","Cowboys","WR","13","25","24","20","15","1","237","384","163","74","20","1","2","2","9","1","13"
"[object Object]","2021","Marquise Brown","Ravens","WR","12","30","29","17","11","3","234","704","197","37","1","3","0","2","7","1","17"
"[object Object]","2021","Dalton Schultz","Cowboys","TE","12","24","24","22","18","0","230","236","182","48","17","1","0","0","12","0","0"
"[object Object]","2021","Mike Gesicki","Dolphins","TE","10","26","26","19","16","1","228","299","172","56","19","0","0","1","10","0","0"
"[object Object]","2021","Hunter Henry","Patriots","TE","15","27","24","15","14","0","228","316","151","77","34","1","0","0","10","3","41"
"[object Object]","2021","Jarvis Landry","Browns","WR","10","26","26","19","18","0","224","254","149","75","42","0","2","4","11","0","0"
"[object Object]","2021","Noah Fant","Broncos","TE","11","22","22","19","17","0","221","125","90","131","36","0","0","4","8","0","0"
"[object Object]","2021","Brandin Cooks","Texans","WR","13","22","19","15","12","1","220","370","188","32","51","1","0","0","10","4","97"
"[object Object]","2021","Stefon Diggs","Bills","WR","12","23","23","15","15","0","219","353","177","42","22","1","0","2","11","0","0"
"[object Object]","2021","Austin Ekeler","Chargers","RB","11","29","29","21","18","2","216","92","27","189","96","0","3","3","10","0","0"
"[object Object]","2021","DK Metcalf","Seahawks","WR","8","20","19","9","8","0","215","478","126","89","69","2","1","1","7","1","13"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","10","19","19","15","13","1","213","333","194","19","3","2","0","2","12","1","39"
"[object Object]","2021","Zach Ertz","2 teams","TE","14","30","29","23","18","1","212","315","144","68","18","0","0","0","12","1","14"
"[object Object]","2021","Darnell Mooney","Bears","WR","12","24","24","16","10","1","212","469","145","67","37","0","2","1","9","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","12","19","19","15","14","1","209","263","130","79","29","2","2","5","11","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","8","25","24","14","11","0","208","536","179","29","14","1","0","0","9","1","13"
"[object Object]","2021","Van Jefferson","Rams","WR","13","22","21","13","9","2","198","401","147","51","39","1","0","0","7","1","32"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","11","14","14","11","8","2","190","301","160","30","17","0","1","1","7","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","12","19","19","15","12","0","188","227","139","49","12","2","0","1","10","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","13","25","25","16","12","1","187","315","152","35","21","2","0","0","7","0","0"
"[object Object]","2021","Deebo Samuel","49ers","WR","10","17","17","13","10","1","177","251","130","47","25","1","2","0","7","0","0"
"[object Object]","2021","Russell Gage","Falcons","WR","12","21","20","15","13","2","176","261","142","34","14","1","1","0","7","1","7"
"[object Object]","2021","Randall Cobb","Packers","WR","6","9","9","9","9","0","176","149","149","27","5","1","0","1","7","0","0"
"[object Object]","2021","Tim Patrick","Broncos","WR","13","23","23","16","13","0","174","306","126","48","29","0","0","1","10","0","0"
"[object Object]","2021","K.J. Osborn","Vikings","WR","10","17","17","13","12","0","174","246","126","48","14","2","0","0","5","0","0"
"[object Object]","2021","Robby Anderson","Panthers","WR","13","33","33","20","14","3","170","445","165","5","2","1","1","0","10","0","0"
"[object Object]","2021","Nelson Agholor","Patriots","WR","10","23","22","15","13","0","170","359","132","38","6","2","0","0","7","1","10"
"[object Object]","2021","Terry McLaurin","Football Team","WR","13","31","30","16","9","0","169","641","163","6","2","3","0","0","7","1","19"
"[object Object]","2021","Rashard Higgins","Browns","WR","12","21","20","18","14","1","169","284","160","9","2","0","0","0","10","1","16"
"[object Object]","2021","Dallas Goedert","Eagles","TE","9","15","15","12","10","1","167","140","109","58","30","2","1","1","8","0","0"
"[object Object]","2021","Rondale Moore","Cardinals","WR","10","14","13","11","10","0","167","129","63","104","89","1","0","4","6","1","11"
"[object Object]","2021","Marquez Valdes-Scantling","Packers","WR","8","14","14","7","6","0","163","334","128","35","15","1","0","0","6","0","0"
"[object Object]","2021","Emmanuel Sanders","Bills","WR","9","21","21","13","10","0","161","382","149","12","8","1","0","0","7","0","0"
"[object Object]","2021","Cedrick Wilson","Cowboys","WR","5","14","14","14","9","0","160","188","102","58","30","1","1","2","7","0","0"
"[object Object]","2021","Adam Thielen","Vikings","WR","11","26","26","16","15","0","159","333","136","23","15","2","1","0","9","0","0"
"[object Object]","2021","Deonte Harty","Saints","WR","11","20","19","9","8","1","157","350","127","30","0","1","0","0","7","1","27"
"[object Object]","2021","Amon-Ra St. Brown","Lions","WR","9","22","22","14","12","1","156","254","94","62","14","1","0","0","7","0","0"
"[object Object]","2021","Brandon Aiyuk","49ers","WR","9","15","14","10","8","0","156","235","104","52","23","1","3","2","7","1","37"
"[object Object]","2021","Tre'Quan Smith","Saints","WR","9","14","14","11","10","0","155","151","106","49","28","1","0","1","7","0","0"
"[object Object]","2021","Marvin Jones","Jaguars","WR","10","19","19","15","12","1","149","221","127","22","9","0","0","1","6","0","0"
"[object Object]","2021","Rob Gronkowski","Buccaneers","TE","6","10","10","10","8","0","146","99","68","78","43","0","1","0","6","0","0"
"[object Object]","2021","Jalen Guyton","Chargers","WR","10","18","17","15","10","1","145","242","96","49","13","0","0","0","9","1","14"
