BUF,MIA,NE,NYJ,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LAC,DAL,NYG,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,LAR,SF,SEA
QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB,QB
Josh Allen,Tua Tagovailoa,Mac Jones,Zach Wilson,Lamar Jackson,Joe Burrow,Deshaun Watson,Mitch Trubisky,Davis Mills,Matt Ryan,Trevor Lawrence,Ryan Tannehill,Russell Wilson,Patrick Mahomes,Derek Carr,Justin Herbert,Dak Prescott,Daniel Jones,Jalen Hurts,Carson Wentz,Justin Fields,Jared Goff,Aaron Rodgers,Kirk Cousins,Marcus Mariota,Baker Mayfield,Jameis Winston,Tom Brady,Kyler Murray,Matthew Stafford,Trey Lance,Geno Smith
Case Keenum,Teddy Bridgewater,Brian Hoyer,Joe Flacco,Tyler Huntley,Brandon Allen,Jacoby Brissett,Kenny Pickett,Kyle Allen,Nick Foles,C.J. Beathard,Malik Willis,Josh Johnson,Chad Henne,Jarrett Stidham,Chase Daniel,Cooper Rush,Tyrod Taylor,Gardner Minshew,Taylor Heinicke,Trevor Siemian,Tim Boyle,Jordan Love,Sean Mannion,Desmond Ridder,Sam Darnold,Andy Dalton,Blaine Gabbert,Colt McCoy,John Wolford,Jimmy Garoppolo,Drew Lock
Matt Barkley,Skylar Thompson,Bailey Zappe,Mike White,Brett Hundley,Jake Browning,Joshua Dobbs,Mason Rudolph,Jeff Driskel,Sam Ehlinger,Jake Luton,Logan Woodside,Brett Rypien,Shane Buechele,Nick Mullens,Easton Stick,Will Grier,Davis Webb,Carson Strong,Sam Howell,Nathan Peterman,David Blough,Danny Etling,Kellen Mond,Feleipe Franks,Matt Corral,Ian Book,Kyle Trask,Trace McSorley,Bryce Perkins,Nate Sudfeld,Jacob Eason
RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,RB,LTE,RB,RB,RB,RB,RB
Devin Singletary,Chase Edmonds,Damien Harris,Breece Hall,J.K. Dobbins,Joe Mixon,Nick Chubb,Najee Harris,Marlon Mack,Jonathan Taylor,Travis Etienne Jr.,Derrick Henry,Javonte Williams,Clyde Edwards-Helaire,Josh Jacobs,Austin Ekeler,Ezekiel Elliott,Saquon Barkley,Miles Sanders,Antonio Gibson,David Montgomery,D'Andre Swift,Aaron Jones,Dalvin Cook,Cordarrelle Patterson,Christian McCaffrey,Adam Trautman,Leonard Fournette,James Conner,Cam Akers,Elijah Mitchell,Rashaad Penny
James Cook,Raheem Mostert,Rhamondre Stevenson,Michael Carter,Gus Edwards,Samaje Perine,Kareem Hunt,Benny Snell Jr.,Rex Burkhead,Nyheim Hines,James Robinson,Dontrell Hilliard,Melvin Gordon III,Ronald Jones,Kenyan Drake,Isaiah Spiller,Tony Pollard,Matt Breida,Kenneth Gainwell,J.D. McKissic,Khalil Herbert,Jamaal Williams,AJ Dillon,Alexander Mattison,Tyler Allgeier,Chuba Hubbard,Taysom Hill,Rachaad White,Darrel Williams,Darrell Henderson Jr.,Jeff Wilson Jr.,Kenneth Walker III
Zack Moss,Sony Michel,Pierre Strong Jr.,Tevin Coleman,Mike Davis,Chris Evans,D'Ernest Johnson,Anthony McFarland Jr.,Dameon Pierce,Phillip Lindsay,Snoop Conner,Hassan Haskins,Mike Boone,Jerick McKinnon,Brandon Bolden,Joshua Kelley,Rico Dowdle,Gary Brightwell,Boston Scott,Brian Robinson,Darrynton Evans,Craig Reynolds,Kylin Hill,Kene Nwangwu,Damien Williams,D'Onta Foreman,Nick Vannett,Ke'Shawn Vaughn,Eno Benjamin,Kyren Williams,Tyrion Davis-Price,Chris Carson
FB,FB,LWR,FB,FB,LWR,FB,FB,FB,LWR,LWR,FB,FB,FB,FB,FB,FB,LWR,LWR,FB,FB,FB,LWR,FB,FB,FB,RB,LWR,LWR,LWR,FB,LWR
Reggie Gilliam,Alec Ingold,DeVante Parker,Nick Bawden,Patrick Ricard,Tee Higgins,Johnny Stanton IV,Derek Watt,Andy Janovich,Michael Pittman Jr.,Zay Jones,Tory Carter,Andrew Beck,Michael Burton,Jakob Johnson,Zander Horvath,Ryan Nall,Kenny Golladay,A.J. Brown,Alex Armah,Khari Blasingame,Jason Cabinda,Sammy Watkins,C.J. Ham,Keith Smith,Giovanni Ricci,Alvin Kamara,Mike Evans,A.J. Green,Allen Robinson II,Kyle Juszczyk,DK Metcalf
