BUF,MIA,NE,NYJ,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LAC,DAL,NYG,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,LAR,SF,SEA
Von Miller,Andrew Van Ginkel,Matthew Judon,Jermaine Johnson,Odafe Oweh,Trey Hendrickson,Jadeveon Clowney,T.J. Watt,Jonathan Greenard,Yannick Ngakoue,Josh Allen,Bud Dupree,Nik Bonitto,Frank Clark,Maxx Crosby,Joey Bosa,Dorance Armstrong,Azeez Ojulari,Derek Barnett,Montez Sweat,Robert Quinn,Charles Harris,Preston Smith,Za'Darius Smith,Lorenzo Carter,Yetur Gross-Matos,Marcus Davenport,Joe Tryon-Shoyinka,Markus Golden,Justin Hollins,Samson Ebukam,Darrell Taylor
A.J. Epenesa,Brennan Scarlett,Josh Uche,Jacob Martin,Justin Houston,Joseph Ossai,Chase Winovich,Genard Avery,Rasheem Green,Ben Banogu,Dawuane Smoot,Ola Adeniyi,Baron Browning,Joshua Kaindoh,Chandler Jones,Kyle Van Noy,Sam Williams,Elerson Smith,Tarron Jackson,Efe Obada,Trevis Gipson,Julian Okwara,Randy Ramsey,D.J. Wonnum,DeAngelo Malone,Amaré Barno,Payton Turner,Cam Gill,Dennis Gardeck,Terrell Lewis,Drake Jackson,Alton Robinson
Mike Love,Cameron Goode,Ronnie Perkins,Micheal Clemons,Daelin Hayes,Khalid Kareem,Isaac Rochell,Delontae Scott,Jordan Jenkins,Ifeadi Odenigbo,Jamir Jones,Justin Lawler,LILB,Shilique Calhoun,Clelin Ferrell,Emeke Egbule,Chauncey Golston,Quincy Roche,WLB,Shaka Toney,Charles Snowden,James Houston,Jonathan Garvin,Janarius Robinson,Quinton Bell,Darryl Johnson,Taco Charlton,Andre Anthony,Myjai Sanders,Daniel Hardy,Jordan Willis,Tyreke Smith
WLB,LILB,MLB,WLB,WLB,LB,WLB,LILB,WLB,WLB,WLB,LILB,Josey Jewell,WLB,Kyler Fackrell,LILB,WLB,WLB,Kyzir White,WLB,WLB,WLB,LILB,LILB,LILB,WLB,LB,LILB,LILB,LILB,WLB,WLB
Matt Milano,Elandon Roberts,Ja'Whaun Bentley,Quincy Williams,Patrick Queen,Logan Wilson,Jeremiah Owusu-Koramoah,Devin Bush,Christian Harris,Darius Leonard,Foyesade Oluokun,"David Long, Jr.",Alex Singleton,Willie Gay,Malcolm Koonce,Kenneth Murray Jr.,Leighton Vander Esch,Tae Crowder,Davion Taylor,Jamin Davis,Nicholas Morrow,Chris Board,Quay Walker,Jordan Hicks,Mykal Walker,Shaq Thompson,Pete Werner,Devin White,Isaiah Simmons,Bobby Wagner,Dre Greenlaw,Jordyn Brooks
Terrel Bernard,Channing Tindall,Raekwon McMillan,Hamsah Nasirildeen,Kristian Welch,Germaine Pratt,Sione Takitaki,Buddy Johnson,Kamu Grugier-Hill,E.J. Speed,Chad Muma,Monty Rice,Kadofi Wright,Leo Chenal,Tashawn Bower,Amen Ogbongbemiga,Jabril Cox,Micah McFadden,Christian Elliss,Khaleke Hudson,Joe Thomas,Derrick Barnes,Krys Barnes,Brian Asamoah,Troy Andersen,Brandon Smith,Demario Davis,K.J. Britt,Tanner Vallejo,Travin Howard,Oren Burks,Nick Bellore
Tyler Matakevich,Sam Eguavoen,Harvey Langi,Marcell Harris,Zakoby McClain,Akeem Davis-Gaither,Tony Fields II,Ulysees Gilbert III,Blake Cashman,JoJo Domann,Chapelle Russell,Dylan Cole,RILB,Darius Harris,WLB,Cole Christiansen,Devin Harper,Cam Brown,MLB,Milo Eifler,Jack Sanborn,Jarrad Davis,Ty Summers,Chazz Surratt,Deion Jones,Kamal Martin,D'Marco Jackson,J.J. Russell,Ezekiel Turner,Anthony Hines III,Curtis Robinson,Ben Burr-Kirven
MLB,RILB,SLB,MLB,MLB,Markus Bailey,MLB,RILB,MLB,MLB,MLB,RILB,Jonas Griffith,MLB,Jayon Brown,RILB,MLB,MLB,T.J. Edwards,MLB,MLB,MLB,RILB,RILB,RILB,MLB,Kaden Elliss,RILB,RILB,RILB,MLB,MLB
Tremaine Edmunds,Jerome Baker,Mack Wilson,C.J. Mosley,Josh Bynes,Clay Johnston,Anthony Walker Jr.,Myles Jack,Christian Kirksey,Bobby Okereke,Devin Lloyd,Zach Cunningham,Justin Strnad,Nick Bolton,Divine Deablo,Drue Tranquill,Micah Parsons,Blake Martinez,Nakobe Dean,Cole Holcomb,Roquan Smith,Alex Anzalone,De'Vondre Campbell,Eric Kendricks,Rashaan Evans,Damien Wilson,Zack Baun,Lavonte David,Zaven Collins,Ernest Jones,Fred Warner,Cody Barton
Tyrel Dodson,Duke Riley,Cameron McGrone,Jamien Sherwood,Malik Harrison,Joe Bachie,Jacob Phillips,Robert Spillane,Neville Hewitt,Zaire Franklin,Shaquille Quarterman,Chance Campbell,Barrington Wade,Jermaine Carter,Darien Butler,Troy Reeder,Luke Gifford,Darrian Beavers,Shaun Bradley,David Mayo,Noah Dawkins,Malcolm Rodriguez,Isaiah McDuffie,Blake Lynch,Nick Kwiatkoski,Julian Stanford,Andrew Dowell,Grant Stuard,Nick Vigil,Christian Rozeboom,Azeez Al-Shaair,Joel Iyiegbuniwe
