"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Henry Ruggs","Raiders","WR","2","5","3","3","3","0","86","76","76","10","1","0","0","0","3","0","0"
"[object Object]","2021","A.J. Brown","Titans","WR","7","9","3","2","2","0","73","49","28","45","42","1","1","0","2","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","8","13","8","4","3","0","70","87","51","19","15","1","0","0","3","1","30"
"[object Object]","2021","Cyril Grayson Jr","Buccaneers","WR","3","4","2","2","2","0","62","42","42","20","1","1","0","0","2","0","0"
"[object Object]","2021","Christian Kirk","Cardinals","WR","10","17","2","2","2","0","61","57","57","4","4","1","0","0","2","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","5","10","4","4","4","0","53","26","26","27","3","2","1","1","4","0","0"
"[object Object]","2021","Rashod Bateman","Ravens","WR","6","13","4","3","3","0","52","38","33","19","8","0","0","1","2","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","5","9","4","3","2","0","49","47","19","30","17","0","0","0","2","0","0"
"[object Object]","2021","Marquise Goodwin","Bears","WR","4","6","2","1","1","0","49","36","34","15","0","1","0","0","1","0","0"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","7","16","5","3","2","0","44","62","30","14","0","2","0","0","2","1","3"
"[object Object]","2021","Robby Anderson","Panthers","WR","6","9","3","3","3","0","42","41","41","1","2","2","0","0","3","0","0"
"[object Object]","2021","Tim Patrick","Broncos","WR","4","6","2","2","2","0","42","24","24","18","11","0","0","0","2","0","0"
"[object Object]","2021","Gabriel Davis","Bills","WR","6","7","4","3","3","0","41","41","26","15","0","1","0","0","2","0","0"
"[object Object]","2021","Pharaoh Brown","Texans","TE","3","4","2","2","2","0","41","19","19","22","13","0","0","0","2","0","0"
"[object Object]","2021","Kendall Hinton","Broncos","WR","4","4","1","1","1","0","40","14","14","26","5","0","0","0","1","0","0"
"[object Object]","2021","Danny Amendola","Texans","WR","4","7","3","1","1","0","39","22","3","36","0","0","0","0","1","0","0"
"[object Object]","2021","Mark Andrews","Ravens","TE","11","27","9","5","5","0","38","47","30","8","2","1","0","0","3","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","7","9","3","3","2","0","38","46","29","9","6","0","0","0","1","0","0"
"[object Object]","2021","Mike Evans","Buccaneers","WR","6","9","1","1","1","0","37","11","11","26","20","0","1","1","1","0","0"
"[object Object]","2021","Stefon Diggs","Bills","WR","8","12","5","4","3","0","36","72","30","6","1","2","0","0","3","0","0"
"[object Object]","2021","Davante Adams","Packers","WR","8","16","7","4","4","0","35","89","32","3","2","2","0","0","3","0","0"
"[object Object]","2021","Cedrick Wilson","Cowboys","WR","5","11","3","3","3","0","34","28","28","6","1","0","0","0","2","0","0"
"[object Object]","2021","Phillip Dorsett","2 teams","WR","2","2","1","1","1","0","33","22","22","11","5","0","0","0","1","0","0"
"[object Object]","2021","Chase Edmonds","Cardinals","RB","3","4","3","3","3","0","32","5","5","27","6","0","0","2","1","0","0"
"[object Object]","2021","Tre'Quan Smith","Saints","WR","4","8","2","2","2","0","31","22","22","9","7","1","1","0","2","0","0"
"[object Object]","2021","Foster Moreau","Raiders","TE","4","6","2","2","2","0","31","18","18","13","7","0","0","0","1","0","0"
"[object Object]","2021","Zay Jones","Raiders","WR","7","8","1","1","1","0","31","27","27","4","0","1","0","0","1","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","7","14","5","3","3","0","29","48","23","6","2","1","0","0","2","0","0"
"[object Object]","2021","Ryan Griffin","Jets","TE","2","3","1","1","1","0","29","2","2","27","4","0","0","0","1","0","0"
"[object Object]","2021","John Bates","Football Team","TE","2","2","1","1","1","0","29","15","15","14","0","0","0","0","1","0","0"
"[object Object]","2021","Mohamed Sanu","49ers","WR","4","4","2","2","2","0","27","17","17","10","8","0","0","0","2","0","0"
"[object Object]","2021","DeAndre Hopkins","Cardinals","WR","6","7","3","2","2","0","26","17","13","13","1","2","0","0","2","0","0"
"[object Object]","2021","Keenan Allen","Chargers","WR","7","14","3","3","2","0","26","21","10","16","5","0","0","0","2","1","4"
"[object Object]","2021","Adam Thielen","Vikings","WR","4","6","3","3","1","1","24","19","4","20","0","1","0","0","1","0","0"
"[object Object]","2021","Jack Doyle","Colts","TE","5","7","2","2","1","1","24","26","24","0","0","0","0","0","1","1","24"
"[object Object]","2021","Darren Waller","Raiders","TE","4","9","2","2","1","0","24","24","18","6","2","0","0","0","1","0","0"
"[object Object]","2021","Marcedes Lewis","Packers","TE","3","3","2","2","2","0","24","15","15","9","5","0","0","0","1","0","0"
"[object Object]","2021","Randall Cobb","Packers","WR","6","8","2","1","1","0","23","31","12","11","1","1","0","0","1","0","0"
"[object Object]","2021","Donald Parham","Chargers","TE","3","5","2","2","2","0","23","1","1","22","5","0","0","1","2","0","0"
"[object Object]","2021","Ameer Abdullah","Panthers","RB","2","2","1","1","1","0","23","5","5","18","3","1","1","0","1","0","0"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","5","5","1","1","1","0","23","23","23","0","0","1","0","0","1","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","7","9","1","1","1","0","23","18","18","5","1","1","0","0","1","0","0"
"[object Object]","2021","Laviska Shenault","Jaguars","WR","7","10","3","2","2","0","22","24","8","14","12","0","0","1","1","0","0"
"[object Object]","2021","DK Metcalf","Seahawks","WR","5","7","3","3","3","0","22","24","24","-2","-1","2","0","0","2","0","0"
"[object Object]","2021","Calvin Ridley","Falcons","WR","3","3","3","2","2","0","22","17","14","8","4","0","0","0","1","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","4","6","3","3","3","0","22","16","16","6","2","0","0","0","2","0","0"
"[object Object]","2021","Kalif Raymond","Lions","WR","4","5","2","2","2","0","21","7","7","14","6","0","0","0","2","0","0"
"[object Object]","2021","Adam Shaheen","Dolphins","TE","2","2","1","1","1","0","21","21","21","0","0","0","0","0","1","0","0"
"[object Object]","2021","Tee Higgins","Bengals","WR","4","5","1","1","1","0","19","11","11","8","2","0","0","0","1","0","0"
"[object Object]","2021","John Ross","Giants","WR","2","2","1","1","1","0","19","6","6","13","5","0","0","0","1","0","0"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","4","5","3","2","2","0","18","30","14","4","5","0","0","0","1","0","0"
"[object Object]","2021","T.Y. Hilton","Colts","WR","4","6","1","1","1","0","18","5","5","13","10","0","0","1","1","0","0"
"[object Object]","2021","Tylan Wallace","Ravens","WR","1","1","1","1","1","0","18","5","5","13","10","0","2","0","1","0","0"
"[object Object]","2021","Miles Sanders","Eagles","RB","2","2","1","1","1","0","18","-3","-3","21","6","0","0","1","1","0","0"
