"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Van Jefferson","Rams","WR","8","17","4","3","3","0","104","109","62","42","39","1","0","0","2","0","0"
"[object Object]","2021","Laviska Shenault","Jaguars","WR","10","12","5","4","4","0","83","74","60","23","6","0","0","0","3","0","0"
"[object Object]","2021","Travis Kelce","Chiefs","TE","9","25","4","4","4","0","73","29","29","44","2","1","0","2","4","0","0"
"[object Object]","2021","George Kittle","49ers","TE","7","15","7","6","5","0","64","92","50","14","6","0","1","0","5","1","26"
"[object Object]","2021","Olamide Zaccheaus","Falcons","WR","7","7","2","2","2","0","64","41","41","23","11","0","0","0","2","0","0"
"[object Object]","2021","Terry McLaurin","Football Team","WR","7","19","8","7","4","1","62","162","49","13","10","0","1","0","3","0","0"
"[object Object]","2021","Davante Adams","Packers","WR","11","20","9","7","5","0","60","85","34","26","12","0","1","0","4","0","0"
"[object Object]","2021","Hunter Henry","Patriots","TE","5","8","5","5","5","0","59","55","55","4","3","1","0","0","4","0","0"
"[object Object]","2021","DJ Moore","Panthers","WR","8","15","4","4","3","1","59","55","51","8","0","0","0","0","3","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","7","11","2","2","2","0","56","14","14","42","9","0","0","0","1","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","7","12","5","4","4","0","55","39","33","22","3","0","0","0","3","0","0"
"[object Object]","2021","K.J. Osborn","Vikings","WR","8","16","4","4","4","0","55","47","47","8","3","1","0","0","2","0","0"
"[object Object]","2021","Chester Rogers","Titans","WR","4","13","5","4","4","0","53","70","41","12","6","0","0","0","3","1","22"
"[object Object]","2021","Zach Ertz","2 teams","TE","7","25","6","5","4","0","51","68","48","3","1","0","1","0","4","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","9","21","5","3","3","0","51","69","42","9","4","0","0","0","3","0","0"
"[object Object]","2021","Tyler Johnson","Buccaneers","WR","7","15","4","3","3","0","51","64","30","21","3","0","0","1","2","0","0"
"[object Object]","2021","Zach Pascal","Colts","WR","9","18","7","6","5","0","49","66","44","5","0","0","0","0","2","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","9","20","6","6","5","1","49","40","37","12","2","0","0","0","3","0","0"
"[object Object]","2021","Sterling Shepard","Giants","WR","3","19","8","6","4","1","45","99","37","8","1","0","0","1","3","0","0"
"[object Object]","2021","Mike Gesicki","Dolphins","TE","5","11","5","5","4","1","44","52","39","5","1","0","0","0","2","0","0"
"[object Object]","2021","Josh Reynolds","2 teams","WR","5","17","4","4","4","0","44","43","43","1","0","0","0","0","1","0","0"
"[object Object]","2021","Cole Kmet","Bears","TE","7","14","2","2","2","0","44","34","34","10","4","0","0","0","2","0","0"
"[object Object]","2021","Austin Ekeler","Chargers","RB","7","14","7","7","7","0","43","14","14","29","13","0","1","0","0","0","0"
"[object Object]","2021","Elijah Moore","Jets","WR","6","12","2","2","2","0","43","33","33","10","5","1","0","0","2","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","8","16","5","5","3","1","42","69","38","4","3","0","0","0","3","1","18"
"[object Object]","2021","Javonte Williams","Broncos","RB","3","4","1","1","1","0","42","-4","-4","46","40","0","0","2","1","0","0"
"[object Object]","2021","Darrel Williams","Chiefs","RB","7","11","3","2","2","0","40","14","15","25","3","0","0","0","1","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","6","15","2","2","2","0","40","24","24","16","8","0","0","0","1","0","0"
"[object Object]","2021","Kenny Golladay","Giants","WR","6","16","3","3","3","0","39","37","37","2","2","0","0","0","2","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","9","19","3","3","3","0","38","75","33","5","3","0","1","0","1","1","38"
