"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Deebo Samuel","49ers","WR","14","33","23","22","19","3","259","-73","-53","328","138","1","4","2","9","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","13","48","36","36","35","1","254","-80","-78","332","106","1","2","5","11","0","0"
"[object Object]","2021","Mecole Hardman","Chiefs","WR","17","53","23","23","22","0","241","-70","-68","315","91","2","2","5","14","0","0"
"[object Object]","2021","James Conner","Cardinals","RB","10","23","15","15","15","0","186","-41","-41","218","57","1","3","5","8","0","0"
"[object Object]","2021","Rondale Moore","Cardinals","WR","13","45","34","34","31","2","180","-107","-104","285","69","0","3","3","9","0","0"
"[object Object]","2021","Cooper Kupp","Rams","WR","13","26","21","21","20","0","178","-52","-50","228","51","1","2","2","9","0","0"
"[object Object]","2021","Brandon Bolden","Patriots","RB","10","19","18","18","18","0","176","-56","-56","232","72","1","6","3","8","0","0"
"[object Object]","2021","Davante Adams","Packers","WR","14","53","26","25","25","0","166","-1","0","166","52","0","1","4","11","0","0"
"[object Object]","2021","Aaron Jones","Packers","RB","14","39","25","24","21","2","161","-69","-59","220","75","1","3","3","8","0","0"
"[object Object]","2021","D'Andre Swift","Lions","RB","12","33","22","21","20","1","152","-107","-91","243","92","2","0","5","4","0","0"
"[object Object]","2021","Austin Ekeler","Chargers","RB","11","22","18","17","16","1","150","-85","-78","228","60","2","1","4","7","0","0"
"[object Object]","2021","Jonathan Taylor","Colts","RB","13","21","18","16","16","0","148","-81","-73","221","26","1","1","1","4","0","0"
"[object Object]","2021","Alvin Kamara","Saints","RB","12","24","15","14","12","2","138","-64","-55","193","54","1","0","2","6","0","0"
"[object Object]","2021","Darnell Mooney","Bears","WR","15","32","16","16","16","0","121","-47","-47","173","71","1","1","3","3","0","0"
"[object Object]","2021","Antonio Gibson","Football Team","RB","13","27","18","17","16","1","118","-79","-70","188","94","1","0","2","2","0","0"
"[object Object]","2021","Chase Edmonds","Cardinals","RB","10","24","14","13","13","0","117","-51","-49","166","38","0","2","2","4","0","0"
"[object Object]","2021","Laviska Shenault","Jaguars","WR","15","34","23","21","20","1","115","-31","-42","159","43","0","2","5","4","0","0"
"[object Object]","2021","Brandin Cooks","Texans","WR","16","40","20","15","15","0","111","-39","-39","150","24","1","1","3","3","0","0"
"[object Object]","2021","Tyler Higbee","Rams","TE","11","19","15","15","14","1","110","-28","-31","141","26","1","0","0","6","0","0"
"[object Object]","2021","Tony Pollard","Cowboys","RB","10","14","14","13","13","0","110","-53","-51","168","41","0","1","1","4","0","0"
"[object Object]","2021","Cordarrelle Patterson","Falcons","RB","12","19","14","13","13","0","104","-45","-47","151","58","0","2","0","5","0","0"
"[object Object]","2021","Leonard Fournette","Buccaneers","RB","12","36","19","19","16","2","102","-65","-59","161","56","0","0","2","6","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","11","24","9","7","7","0","101","-17","-11","112","43","0","0","2","2","0","0"
"[object Object]","2021","Josiah Deguara","Packers","TE","11","17","7","7","7","0","100","-17","-17","117","70","1","1","1","3","0","0"
"[object Object]","2021","Alexander Mattison","Vikings","RB","9","18","9","8","8","0","96","-29","-25","121","30","0","1","1","5","0","0"
"[object Object]","2021","DJ Moore","Panthers","WR","15","44","17","15","15","0","95","-24","-19","114","26","0","1","1","5","0","0"
"[object Object]","2021","Demetric Felton","Browns","RB","8","17","9","9","9","0","95","-33","-33","128","45","2","3","0","5","0","0"
"[object Object]","2021","Jeremy McNichols","Titans","RB","9","16","14","13","11","0","93","-61","-49","142","51","0","0","2","4","0","0"
"[object Object]","2021","Josh Jacobs","Raiders","RB","10","14","12","11","10","1","93","-48","-40","133","49","0","3","1","3","0","0"
"[object Object]","2021","Dalvin Cook","Vikings","RB","11","26","19","17","14","3","92","-89","-68","160","34","0","1","3","4","0","0"
"[object Object]","2021","Ameer Abdullah","Panthers","RB","7","15","12","9","9","0","90","-55","-40","130","41","0","0","3","5","0","0"
"[object Object]","2021","Darrel Williams","Chiefs","RB","12","19","9","9","9","0","90","-28","-28","118","29","0","2","3","2","0","0"
"[object Object]","2021","Kareem Hunt","Browns","RB","5","10","8","7","7","0","90","-23","-23","113","31","0","1","0","5","0","0"
"[object Object]","2021","Joe Mixon","Bengals","RB","12","22","14","13","11","2","89","-46","-31","127","7","0","0","0","3","0","0"
"[object Object]","2021","Dallas Goedert","Eagles","TE","12","22","11","11","10","1","88","-47","-42","139","23","0","0","0","5","0","0"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","11","24","14","12","10","2","86","-34","-29","115","48","0","0","3","4","0","0"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","11","31","12","11","11","0","86","-32","-22","108","61","0","5","0","4","0","0"
"[object Object]","2021","Jalen Reagor","Eagles","WR","17","43","15","15","13","1","84","-18","-22","106","33","1","1","3","2","0","0"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","13","29","20","20","19","1","83","-62","-61","156","30","1","1","1","3","0","0"
"[object Object]","2021","David Njoku","Browns","TE","10","22","7","7","7","0","83","-26","-26","109","21","0","0","0","4","0","0"
"[object Object]","2021","Devontae Booker","Giants","RB","13","23","15","15","14","1","82","-59","-55","137","33","0","0","4","3","0","0"
"[object Object]","2021","Braxton Berrios","Jets","WR","12","24","16","15","15","0","80","-57","-53","133","19","0","1","0","6","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","15","43","17","15","15","0","79","-37","-34","113","24","0","1","1","6","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","17","53","16","14","12","2","79","-33","-22","101","28","0","0","1","1","0","0"
"[object Object]","2021","J.D. McKissic","Football Team","RB","6","11","8","8","8","0","79","-37","-37","116","21","1","1","1","5","0","0"
"[object Object]","2021","Austin Hooper","Browns","TE","12","16","5","5","5","0","79","-14","-14","93","19","0","0","0","3","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","12","27","10","9","9","0","78","-30","-27","105","25","0","0","0","4","0","0"
"[object Object]","2021","Russell Gage","Falcons","WR","9","17","8","8","8","0","78","-21","-21","99","35","0","2","2","4","0","0"
"[object Object]","2021","Nick Chubb","Browns","RB","7","11","8","8","8","0","78","-28","-28","106","48","0","2","0","3","0","0"
"[object Object]","2021","Derrick Henry","Titans","RB","6","10","8","7","7","0","77","-30","-29","106","20","0","1","1","4","0","0"
"[object Object]","2021","Michael Carter","Jets","RB","10","15","12","11","10","1","76","-56","-50","126","45","0","4","3","5","0","0"
"[object Object]","2021","Ty Johnson","Jets","RB","5","12","9","7","7","0","75","-47","-37","112","21","0","1","0","3","0","0"
