"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Stefon Diggs","Bills","WR","15","63","63","57","54","1","455","372","269","186","104","1","4","10","20","0","0"
"[object Object]","2020","Cole Beasley","Bills","WR","14","58","58","49","46","0","449","363","251","198","48","2","1","4","29","1","5"
"[object Object]","2020","Keenan Allen","Chargers","WR","11","58","58","48","43","3","374","232","148","226","88","1","1","10","23","0","0"
"[object Object]","2020","Terry McLaurin","Football Team","WR","15","43","41","38","35","0","358","218","155","209","82","1","4","2","19","2","6"
"[object Object]","2020","DK Metcalf","Seahawks","WR","16","50","49","42","34","4","312","367","149","205","88","2","3","4","22","1","25"
"[object Object]","2020","A.J. Brown","Titans","WR","12","31","31","26","23","1","302","224","137","165","106","4","11","2","18","0","0"
"[object Object]","2020","Robby Anderson","Panthers","WR","14","44","42","38","35","1","286","213","135","151","61","0","0","4","16","2","18"
"[object Object]","2020","Darren Waller","Raiders","TE","14","35","34","28","25","0","277","249","158","119","71","3","3","0","16","1","7"
"[object Object]","2020","Evan Engram","Giants","TE","13","50","48","40","31","6","270","383","172","98","48","1","3","0","17","2","18"
"[object Object]","2020","Tee Higgins","Bengals","WR","13","35","35","29","25","2","269","277","172","97","45","1","0","1","18","0","0"
"[object Object]","2020","Deebo Samuel","49ers","WR","6","24","24","21","20","1","269","32","1","268","157","1","6","6","12","0","0"
"[object Object]","2020","Diontae Johnson","Steelers","WR","11","49","48","43","32","6","263","139","89","174","59","2","1","2","13","1","11"
"[object Object]","2020","Tyler Boyd","Bengals","WR","12","35","35","29","27","1","262","206","108","154","41","1","1","2","15","0","0"
"[object Object]","2020","Sterling Shepard","Giants","WR","12","41","41","31","28","1","249","288","166","83","27","1","2","2","13","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","12","25","25","24","23","0","249","182","174","75","28","2","2","0","12","0","0"
"[object Object]","2020","Davante Adams","Packers","WR","12","29","29","25","24","1","248","129","87","161","30","2","1","3","11","0","0"
"[object Object]","2020","Allen Robinson","Bears","WR","14","37","37","33","27","0","247","234","163","84","44","1","1","2","16","0","0"
"[object Object]","2020","Kendrick Bourne","49ers","WR","12","26","25","24","21","1","238","190","145","93","52","0","2","3","15","1","6"
"[object Object]","2020","DJ Moore","Panthers","WR","14","30","30","24","20","3","233","166","77","156","89","2","8","2","13","0","0"
"[object Object]","2020","CeeDee Lamb","Cowboys","WR","14","25","25","21","20","1","229","188","159","70","24","2","1","1","14","0","0"
"[object Object]","2020","Amari Cooper","Cowboys","WR","12","26","26","22","20","2","222","192","137","85","40","2","0","1","13","0","0"
"[object Object]","2020","Mark Andrews","Ravens","TE","13","33","33","30","23","4","220","257","165","55","22","4","1","0","14","0","0"
"[object Object]","2020","Jamison Crowder","Jets","WR","10","24","24","19","18","1","216","95","67","149","92","3","1","1","10","0","0"
"[object Object]","2020","A.J. Green","Bengals","WR","14","38","36","27","21","2","208","312","149","59","32","1","3","1","15","2","23"
"[object Object]","2020","Brandin Cooks","Texans","WR","11","23","23","20","18","1","197","91","54","143","18","1","1","0","8","0","0"
"[object Object]","2020","JuJu Smith-Schuster","Steelers","WR","16","34","33","30","28","0","195","91","55","140","75","2","5","0","13","1","10"
"[object Object]","2020","Eric Ebron","Steelers","TE","11","33","32","25","21","2","195","147","104","91","40","3","0","1","12","0","0"
"[object Object]","2020","George Kittle","49ers","TE","8","22","22","19","16","2","193","178","120","73","39","1","0","1","9","0","0"
"[object Object]","2020","Dallas Goedert","Eagles","TE","9","22","22","20","16","1","192","167","117","75","41","1","3","0","10","0","0"
"[object Object]","2020","Brandon Aiyuk","49ers","WR","11","36","35","25","20","2","185","240","67","118","26","3","1","1","11","1","10"
"[object Object]","2020","Tyler Lockett","Seahawks","WR","15","32","31","24","23","1","184","187","117","67","11","0","0","0","8","1","18"
"[object Object]","2020","John Brown","Bills","WR","8","23","23","18","17","0","182","236","114","68","13","1","0","0","11","0","0"
"[object Object]","2020","Darius Slayton","Giants","WR","13","29","29","18","16","1","181","276","154","27","14","1","2","0","13","0","0"
"[object Object]","2020","Tim Patrick","Broncos","WR","11","21","20","16","16","0","171","127","93","78","21","3","0","2","7","1","4"
"[object Object]","2020","Isaiah McKenzie","Bills","WR","12","20","20","19","18","1","167","100","63","104","24","5","1","2","12","0","0"
"[object Object]","2020","DeAndre Hopkins","Cardinals","WR","13","36","34","26","25","0","166","138","82","84","29","0","0","7","10","2","12"
"[object Object]","2020","Chris Godwin","Buccaneers","WR","11","24","24","23","21","2","166","103","62","104","42","2","1","0","13","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","12","36","35","27","25","1","165","204","88","77","35","3","2","2","11","1","15"
"[object Object]","2020","Gabriel Davis","Bills","WR","14","23","23","17","13","1","159","283","131","28","9","3","2","0","10","0","0"
"[object Object]","2020","Justin Jefferson","Vikings","WR","12","18","17","15","13","1","159","122","82","77","30","0","1","2","7","1","18"
"[object Object]","2020","Jonnu Smith","Titans","TE","12","24","24","19","16","0","157","154","98","59","23","1","2","1","8","0","0"
"[object Object]","2020","Rob Gronkowski","Buccaneers","TE","10","24","24","16","15","0","152","231","98","54","28","2","0","0","10","0","0"
"[object Object]","2020","Curtis Samuel","Panthers","WR","12","29","29","25","23","2","149","39","28","121","27","1","1","0","8","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","9","25","24","17","13","0","148","271","106","42","12","0","0","1","8","1","21"
