"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Mike Gesicki","Dolphins","TE","15","53","15","10","10","0","243","219","175","68","25","2","1","0","10","0","0"
"[object Object]","2020","Calvin Ridley","Falcons","WR","15","43","13","9","8","0","161","275","153","8","3","2","0","0","8","0","0"
"[object Object]","2020","T.J. Hockenson","Lions","TE","16","29","7","5","5","0","113","80","78","35","24","0","2","0","5","0","0"
"[object Object]","2020","Travis Kelce","Chiefs","TE","14","39","7","6","5","0","112","102","73","39","9","2","0","0","5","0","0"
"[object Object]","2020","Marcus Johnson","Colts","WR","5","7","3","3","3","0","102","85","85","17","9","0","0","0","3","0","0"
"[object Object]","2020","Tyler Higbee","Rams","TE","14","34","5","4","3","0","101","105","69","32","8","0","0","0","3","0","0"
"[object Object]","2020","Tyreek Hill","Chiefs","WR","14","55","12","6","4","0","88","309","87","1","0","1","0","0","4","0","0"
"[object Object]","2020","Mo Alie-Cox","Colts","TE","13","21","5","4","3","0","81","86","61","20","3","0","0","0","3","1","5"
"[object Object]","2020","Gabriel Davis","Bills","WR","10","17","2","2","2","0","78","59","59","19","3","0","0","0","2","0","0"
"[object Object]","2020","Marvin Jones","Lions","WR","13","37","3","3","3","0","75","101","71","4","2","1","1","0","3","1","29"
"[object Object]","2020","Corey Davis","Titans","WR","11","19","4","3","2","0","71","104","40","31","16","0","0","0","2","0","0"
"[object Object]","2020","Irv Smith","Vikings","TE","8","16","4","4","4","0","70","44","44","26","9","1","0","1","4","0","0"
"[object Object]","2020","Eric Ebron","Steelers","TE","12","38","5","4","4","0","65","78","58","7","3","0","0","0","4","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","14","40","4","3","3","0","65","85","65","0","0","2","0","0","3","0","0"
"[object Object]","2020","T.Y. Hilton","Colts","WR","12","30","7","5","4","0","64","145","59","5","3","1","0","0","4","2","21"
"[object Object]","2020","Jack Doyle","Colts","TE","6","14","4","3","3","0","59","50","44","15","13","1","1","0","3","0","0"
"[object Object]","2020","Adam Trautman","Saints","TE","9","15","2","2","2","0","58","32","32","26","5","0","0","0","2","0","0"
"[object Object]","2020","Will Fuller V","Texans","WR","9","20","4","3","2","0","57","95","34","23","9","0","0","0","2","1","15"
"[object Object]","2020","Julio Jones","Falcons","WR","6","25","4","2","2","0","55","84","41","14","10","1","0","0","2","0","0"
"[object Object]","2020","Jalen Guyton","Chargers","WR","12","28","2","2","2","0","52","71","36","16","7","0","1","0","2","1","20"
"[object Object]","2020","Tyron Johnson","Chargers","WR","7","11","3","2","2","0","51","89","45","6","1","1","0","0","2","0","0"
"[object Object]","2020","Hunter Henry","Chargers","TE","10","20","6","5","3","0","49","65","33","16","2","1","0","0","3","0","0"
"[object Object]","2020","Mark Andrews","Ravens","TE","11","27","4","3","2","0","49","76","46","3","2","1","0","0","2","0","0"
"[object Object]","2020","Noah Fant","Broncos","TE","10","22","6","3","3","0","48","104","43","5","0","2","0","0","3","0","0"
"[object Object]","2020","Allen Lazard","Packers","WR","6","9","1","1","1","0","48","42","42","6","0","0","0","0","1","0","0"
"[object Object]","2020","Marquise Brown","Ravens","WR","13","28","4","1","1","0","47","98","42","5","4","0","0","0","1","0","0"
