"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Travis Kelce","Chiefs","TE","15","55","21","20","18","1","272","204","160","112","85","3","3","2","18","1","18"
"[object Object]","2020","Calvin Ridley","Falcons","WR","14","61","21","19","16","1","222","244","180","42","27","1","0","5","12","0","0"
"[object Object]","2020","DeAndre Hopkins","Cardinals","WR","16","67","28","24","22","0","199","240","178","21","5","1","0","1","16","0","0"
"[object Object]","2020","Justin Jefferson","Vikings","WR","14","43","16","14","13","0","177","171","146","31","14","0","1","1","11","0","0"
"[object Object]","2020","T.Y. Hilton","Colts","WR","13","26","12","10","10","0","176","165","141","35","10","0","0","1","10","0","0"
"[object Object]","2020","Jarvis Landry","Browns","WR","15","56","20","17","17","0","167","126","106","61","32","0","0","3","12","0","0"
"[object Object]","2020","Robert Woods","Rams","WR","16","82","26","20","18","1","166","219","141","25","8","1","0","1","10","0","0"
"[object Object]","2020","Cooper Kupp","Rams","WR","14","70","18","15","15","0","161","145","92","69","18","1","2","3","10","1","22"
"[object Object]","2020","Russell Gage","Falcons","WR","15","60","21","18","16","0","157","189","137","20","5","2","0","0","12","0","0"
"[object Object]","2020","Curtis Samuel","Panthers","WR","15","47","14","11","11","0","154","136","106","48","13","0","0","0","8","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","14","77","15","11","11","0","153","185","139","14","25","1","0","0","8","0","0"
"[object Object]","2020","Robby Anderson","Panthers","WR","16","76","22","18","16","1","152","182","97","55","20","0","2","1","7","1","13"
"[object Object]","2020","Jakobi Meyers","Patriots","WR","12","38","16","14","13","1","145","166","115","30","8","0","0","0","10","0","0"
"[object Object]","2020","Keelan Cole","Jaguars","WR","16","100","14","14","14","0","141","133","133","8","1","0","0","0","9","0","0"
"[object Object]","2020","Stefon Diggs","Bills","WR","14","49","20","17","16","0","140","158","120","20","15","0","0","1","7","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","14","58","19","15","15","0","140","168","128","12","3","3","0","0","10","0","0"
"[object Object]","2020","CeeDee Lamb","Cowboys","WR","15","74","18","13","13","1","140","164","110","30","6","0","0","0","10","0","0"
"[object Object]","2020","Davante Adams","Packers","WR","14","55","23","20","20","0","136","131","102","34","12","3","0","0","12","0","0"
"[object Object]","2020","Amari Cooper","Cowboys","WR","16","61","20","18","16","1","136","146","108","28","12","0","0","1","9","0","0"
"[object Object]","2020","Marvin Jones","Lions","WR","16","40","15","12","11","0","131","152","104","27","26","1","1","1","6","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","15","50","19","16","13","2","130","175","105","25","15","0","0","1","9","0","0"
"[object Object]","2020","Allen Robinson","Bears","WR","16","66","23","17","14","0","122","126","78","44","17","0","0","1","6","0","0"
"[object Object]","2020","Tyreek Hill","Chiefs","WR","13","42","15","12","11","0","122","123","76","46","30","0","1","1","4","0","0"
"[object Object]","2020","Cole Beasley","Bills","WR","15","82","21","18","16","0","121","126","81","40","11","0","0","1","9","1","5"
"[object Object]","2020","Dalton Schultz","Cowboys","TE","16","76","17","16","13","2","117","116","95","22","17","0","1","1","5","0","0"
"[object Object]","2020","Logan Thomas","Football Team","TE","16","91","20","15","11","1","116","170","94","22","11","0","1","0","6","0","0"
"[object Object]","2020","Cameron Brate","Buccaneers","TE","13","39","13","12","12","0","115","97","90","25","6","1","0","0","8","0","0"
"[object Object]","2020","Brandin Cooks","Texans","WR","14","51","15","12","11","1","112","131","97","15","4","0","0","0","5","0","0"
"[object Object]","2020","Emmanuel Sanders","Saints","WR","12","34","13","11","10","0","109","123","103","6","3","0","0","1","5","0","0"
"[object Object]","2020","Travis Fulgham","Eagles","WR","12","35","13","12","8","2","109","169","106","3","2","0","0","0","6","0","0"
"[object Object]","2020","Diontae Johnson","Steelers","WR","15","60","11","10","10","0","106","74","58","48","33","1","1","1","5","1","11"
