"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Will Fuller V","Texans","WR","11","56","9","6","6","0","249","282","172","77","45","5","0","0","6","1","50"
"[object Object]","2020","Marquez Valdes-Scantling","Packers","WR","15","55","10","6","4","0","234","299","132","102","7","3","0","0","4","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","16","79","12","6","5","1","220","449","162","58","9","2","0","0","5","2","50"
"[object Object]","2020","Jalen Guyton","Chargers","WR","15","64","8","3","3","0","195","297","106","89","41","2","0","1","3","0","0"
"[object Object]","2020","Diontae Johnson","Steelers","WR","14","71","9","5","5","0","184","317","162","22","10","2","0","0","5","1","21"
"[object Object]","2020","Michael Gallup","Cowboys","WR","16","77","7","5","4","0","171","266","146","25","15","1","0","0","4","1","26"
"[object Object]","2020","Tim Patrick","Broncos","WR","15","51","8","5","4","1","169","266","128","41","16","0","0","0","4","0","0"
"[object Object]","2020","DJ Moore","Panthers","WR","15","76","9","4","4","0","165","315","138","27","13","0","0","0","4","0","0"
"[object Object]","2020","Marquise Brown","Ravens","WR","16","78","9","3","3","0","158","323","80","78","53","2","0","2","3","1","29"
"[object Object]","2020","Davante Adams","Packers","WR","14","49","6","5","4","0","153","190","121","32","5","2","0","1","4","0","0"
"[object Object]","2020","DK Metcalf","Seahawks","WR","15","80","10","6","4","1","151","354","133","18","7","1","0","0","4","0","0"
"[object Object]","2020","Nelson Agholor","Raiders","WR","10","20","5","3","3","0","146","197","134","12","5","1","0","0","3","0","0"
"[object Object]","2020","Calvin Ridley","Falcons","WR","12","44","7","4","3","0","140","227","120","20","5","0","0","0","3","0","0"
"[object Object]","2020","Gabriel Davis","Bills","WR","16","88","8","4","4","0","136","268","121","15","10","2","0","0","4","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","13","63","7","5","3","0","124","228","93","31","3","1","0","0","3","0","0"
"[object Object]","2020","Scotty Miller","Buccaneers","WR","14","39","8","4","3","0","114","343","111","3","1","1","0","0","3","2","63"
"[object Object]","2020","John Hightower","Eagles","WR","9","32","4","2","2","0","109","157","77","32","26","0","1","0","2","0","0"
